trip_id,speed_mph,outside_temp_f,hvac_on,elevation_gain_ft,distance_miles,energy_used_kwh,wh_per_mile
11,28,65,0,80,18,4.1,228
12,40,78,0,150,27,6.5,241
13,52,74,0,260,35,8.9,254
14,58,60,1,340,39,10.9,279
15,62,82,1,410,41,12.8,312
16,68,88,1,620,47,15.6,332
17,72,92,1,850,53,19.8,374
18,80,100,1,1000,58,23.4,403
19,33,55,0,120,20,4.8,240
20,48,67,0,180,30,7.4,247
21,57,73,1,350,37,10.5,284
22,63,77,1,520,43,13.6,316
23,69,84,1,650,48,16.7,348
24,74,89,1,780,51,18.9,371
25,82,97,1,1100,60,25.1,418
26,36,50,1,200,24,6.9,288
27,44,58,0,160,29,7.1,245
28,53,66,0,240,34,8.6,253
29,61,71,1,430,40,12.1,303
30,67,79,1,590,46,15.0,326
31,73,85,1,740,52,18.3,352
32,78,93,1,980,57,22.4,393
33,31,48,1,170,21,6.2,295
34,42,62,0,140,28,6.7,239
35,56,69,1,330,36,10.1,281
36,64,76,1,510,44,13.9,316
37,71,83,1,690,49,17.1,349
38,76,91,1,870,55,20.8,378
39,84,102,1,1200,62,27.3,440
40,38,57,0,130,26,6.1,235
41,47,64,0,190,32,7.8,244
42,54,72,1,310,35,9.9,283
43,60,74,1,450,41,12.3,300
44,66,81,1,610,45,15.1,336
45,70,87,1,760,50,18.0,360
46,79,96,1,1050,59,24.0,407
47,34,52,1,160,23,6.5,283
48,46,68,0,170,30,7.3,243
49,59,75,1,390,39,11.7,300
50,68,86,1,680,48,17.0,354
